pin,slack
COREABC_0/ACCUMULATOR[7]:D,13238
COREABC_0/ACCUMULATOR[7]:EN,15898
COREABC_0/ACCUMULATOR[7]:LAT,
COREABC_0/ACCUMULATOR[7]:Q,14896
COREABC_0/ACCUMULATOR[7]:SD,
COREABC_0/ACCUMULATOR[7]:SLn,
COREABC_0/STBACCUM:ADn,
COREABC_0/STBACCUM:ALn,16293
COREABC_0/STBACCUM:CLK,17296
COREABC_0/STBACCUM:D,17022
COREABC_0/STBACCUM:EN,
COREABC_0/STBACCUM:LAT,
COREABC_0/STBACCUM:Q,17296
COREABC_0/STBACCUM:SD,
COREABC_0/STBACCUM:SLn,
RX_ibuf/U0/U_IOINFF:A,
RX_ibuf/U0/U_IOINFF:Y,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_SUM[1]:A,16251
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_SUM[1]:B,17346
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_SUM[1]:Y,16251
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_8:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_8:IPENn,
COREABC_0/STKPTR_RNO[0]:A,17382
COREABC_0/STKPTR_RNO[0]:B,15901
COREABC_0/STKPTR_RNO[0]:C,14969
COREABC_0/STKPTR_RNO[0]:Y,14969
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:CLK,13776
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:D,14402
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:Q,13776
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:SLn,
COREABC_0/un1_stbaccum:A,17296
COREABC_0/un1_stbaccum:B,17158
COREABC_0/un1_stbaccum:C,15898
COREABC_0/un1_stbaccum:Y,15898
COREABC_0/ACCUM_NEXT_6_1_1[7]:A,14896
COREABC_0/ACCUM_NEXT_6_1_1[7]:B,14689
COREABC_0/ACCUM_NEXT_6_1_1[7]:C,14637
COREABC_0/ACCUM_NEXT_6_1_1[7]:D,13238
COREABC_0/ACCUM_NEXT_6_1_1[7]:Y,13238
RX_ibuf/U0/U_IOPAD:PAD,
RX_ibuf/U0/U_IOPAD:Y,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:CLK,13896
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:Q,13896
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_9:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_9:IPENn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_2:EN,
CoreUARTapb_0/uUART/make_TX/xmit_cnt_xmit_bit_sel_3_i_o4[1]:A,15155
CoreUARTapb_0/uUART/make_TX/xmit_cnt_xmit_bit_sel_3_i_o4[1]:B,15104
CoreUARTapb_0/uUART/make_TX/xmit_cnt_xmit_bit_sel_3_i_o4[1]:Y,15104
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_18:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_14:EN,
FCCC_0/CCC_INST/IP_INTERFACE_6:A,
FCCC_0/CCC_INST/IP_INTERFACE_6:B,
FCCC_0/CCC_INST/IP_INTERFACE_6:C,
FCCC_0/CCC_INST/IP_INTERFACE_6:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_6:IPC,
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:A,15209
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:B,14049
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:C,15062
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:D,14838
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:Y,14049
CoreUARTapb_0/iPRDATA[0]:ADn,
CoreUARTapb_0/iPRDATA[0]:ALn,16293
CoreUARTapb_0/iPRDATA[0]:CLK,17329
CoreUARTapb_0/iPRDATA[0]:D,17382
CoreUARTapb_0/iPRDATA[0]:EN,15898
CoreUARTapb_0/iPRDATA[0]:LAT,
CoreUARTapb_0/iPRDATA[0]:Q,17329
CoreUARTapb_0/iPRDATA[0]:SD,
CoreUARTapb_0/iPRDATA[0]:SLn,
COREABC_0/SMADDR[4]:ADn,
COREABC_0/SMADDR[4]:ALn,16293
COREABC_0/SMADDR[4]:CLK,14103
COREABC_0/SMADDR[4]:D,15030
COREABC_0/SMADDR[4]:EN,15991
COREABC_0/SMADDR[4]:LAT,
COREABC_0/SMADDR[4]:Q,14103
COREABC_0/SMADDR[4]:SD,
COREABC_0/SMADDR[4]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:B,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:C,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:IPB,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:IPC,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:CLK,15041
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:D,17154
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:EN,18219
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:Q,15041
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:SLn,
COREABC_0/un5_ramwdata_cry_5:A,
COREABC_0/un5_ramwdata_cry_5:B,15853
COREABC_0/un5_ramwdata_cry_5:C,
COREABC_0/un5_ramwdata_cry_5:CC,14971
COREABC_0/un5_ramwdata_cry_5:D,
COREABC_0/un5_ramwdata_cry_5:P,
COREABC_0/un5_ramwdata_cry_5:S,14971
COREABC_0/un5_ramwdata_cry_5:UB,
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:A,17257
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:B,17058
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:C,17144
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:Y,17058
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:A,17390
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:B,17315
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:C,15004
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:Y,15004
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:A,15146
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:B,13962
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:C,15084
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:Y,13962
COREABC_0/INSTR_DATA[4]:ADn,
COREABC_0/INSTR_DATA[4]:ALn,
COREABC_0/INSTR_DATA[4]:CLK,12710
COREABC_0/INSTR_DATA[4]:D,15068
COREABC_0/INSTR_DATA[4]:EN,
COREABC_0/INSTR_DATA[4]:LAT,
COREABC_0/INSTR_DATA[4]:Q,12710
COREABC_0/INSTR_DATA[4]:SD,
COREABC_0/INSTR_DATA[4]:SLn,
CoreUARTapb_0/uUART/tx_hold_reg[6]:ADn,
CoreUARTapb_0/uUART/tx_hold_reg[6]:ALn,16293
CoreUARTapb_0/uUART/tx_hold_reg[6]:CLK,18487
CoreUARTapb_0/uUART/tx_hold_reg[6]:D,17156
CoreUARTapb_0/uUART/tx_hold_reg[6]:EN,15890
CoreUARTapb_0/uUART/tx_hold_reg[6]:LAT,
CoreUARTapb_0/uUART/tx_hold_reg[6]:Q,18487
CoreUARTapb_0/uUART/tx_hold_reg[6]:SD,
CoreUARTapb_0/uUART/tx_hold_reg[6]:SLn,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:ADn,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:ALn,16293
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:CLK,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:D,16225
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:EN,15649
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:LAT,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:Q,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:SD,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:SLn,
COREABC_0/UROM_UROM/PROM_ins248_0_a2:A,17374
COREABC_0/UROM_UROM/PROM_ins248_0_a2:B,17331
COREABC_0/UROM_UROM/PROM_ins248_0_a2:C,15068
COREABC_0/UROM_UROM/PROM_ins248_0_a2:D,17037
COREABC_0/UROM_UROM/PROM_ins248_0_a2:Y,15068
CoreUARTapb_0/iPRDATA[1]:ADn,
CoreUARTapb_0/iPRDATA[1]:ALn,16293
CoreUARTapb_0/iPRDATA[1]:CLK,17382
CoreUARTapb_0/iPRDATA[1]:D,17382
CoreUARTapb_0/iPRDATA[1]:EN,15898
CoreUARTapb_0/iPRDATA[1]:LAT,
CoreUARTapb_0/iPRDATA[1]:Q,17382
CoreUARTapb_0/iPRDATA[1]:SD,
CoreUARTapb_0/iPRDATA[1]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_21:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_21:IPENn,
CoreUARTapb_0/uUART/make_RX/rx_state_RNIQTOA[0]:A,14630
CoreUARTapb_0/uUART/make_RX/rx_state_RNIQTOA[0]:B,14537
CoreUARTapb_0/uUART/make_RX/rx_state_RNIQTOA[0]:Y,14537
CoreUARTapb_0/uUART/make_RX/receive_count[2]:ADn,
CoreUARTapb_0/uUART/make_RX/receive_count[2]:ALn,16293
CoreUARTapb_0/uUART/make_RX/receive_count[2]:CLK,14102
CoreUARTapb_0/uUART/make_RX/receive_count[2]:D,13580
CoreUARTapb_0/uUART/make_RX/receive_count[2]:EN,18219
CoreUARTapb_0/uUART/make_RX/receive_count[2]:LAT,
CoreUARTapb_0/uUART/make_RX/receive_count[2]:Q,14102
CoreUARTapb_0/uUART/make_RX/receive_count[2]:SD,
CoreUARTapb_0/uUART/make_RX/receive_count[2]:SLn,
COREABC_0/INSTR_CMD_RNICU6K[2]:A,15155
COREABC_0/INSTR_CMD_RNICU6K[2]:B,14979
COREABC_0/INSTR_CMD_RNICU6K[2]:C,15050
COREABC_0/INSTR_CMD_RNICU6K[2]:D,14788
COREABC_0/INSTR_CMD_RNICU6K[2]:Y,14788
FCCC_0/GL0_INST/U0:An,
FCCC_0/GL0_INST/U0:ENn,
FCCC_0/GL0_INST/U0:YNn,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:A,17429
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:B,16218
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:C,17272
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:D,17060
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:Y,16218
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:A,14147
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:B,14097
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:C,14000
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:D,13776
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:Y,13776
FCCC_0/CCC_INST/IP_INTERFACE_0:A,
FCCC_0/CCC_INST/IP_INTERFACE_0:B,
FCCC_0/CCC_INST/IP_INTERFACE_0:C,
FCCC_0/CCC_INST/IP_INTERFACE_0:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_0:IPB,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:CLK,15168
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:Q,15168
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:SLn,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:CLK,14110
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:Q,14110
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:SLn,
COREABC_0/UROM_UROM/PROM_ins250_0_a2:A,17374
COREABC_0/UROM_UROM/PROM_ins250_0_a2:B,17343
COREABC_0/UROM_UROM/PROM_ins250_0_a2:C,15068
COREABC_0/UROM_UROM/PROM_ins250_0_a2:D,17037
COREABC_0/UROM_UROM/PROM_ins250_0_a2:Y,15068
COREABC_0/aluout31_0:A,13297
COREABC_0/aluout31_0:B,13238
COREABC_0/aluout31_0:Y,13238
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_1[6]:A,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_1[6]:B,12842
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_1[6]:C,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_1[6]:CC,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_1[6]:D,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_1[6]:P,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_1[6]:UB,12842
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:A,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:B,13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:C,16364
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:CC,13860
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:D,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:P,13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:S,13860
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:UB,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_3[6]:A,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_3[6]:B,12822
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_3[6]:C,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_3[6]:CC,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_3[6]:D,
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_3[6]:P,12822
COREABC_0/ACCUM_NEXT_6_ns_1_0_RNO_3[6]:UB,
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:A,16317
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:B,16202
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:C,16186
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:Y,16186
COREABC_0/PENABLEI_RNIAR8D1_2:A,14953
COREABC_0/PENABLEI_RNIAR8D1_2:Y,14953
CoreUARTapb_0/uUART/make_RX/receive_full_int:ADn,
CoreUARTapb_0/uUART/make_RX/receive_full_int:ALn,16293
CoreUARTapb_0/uUART/make_RX/receive_full_int:CLK,17142
CoreUARTapb_0/uUART/make_RX/receive_full_int:D,15008
CoreUARTapb_0/uUART/make_RX/receive_full_int:EN,14839
CoreUARTapb_0/uUART/make_RX/receive_full_int:LAT,
CoreUARTapb_0/uUART/make_RX/receive_full_int:Q,17142
CoreUARTapb_0/uUART/make_RX/receive_full_int:SD,
CoreUARTapb_0/uUART/make_RX/receive_full_int:SLn,
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[6]:A,17406
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[6]:B,17382
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[6]:Y,17382
CoreUARTapb_0/uUART/tx_hold_reg[2]:ADn,
CoreUARTapb_0/uUART/tx_hold_reg[2]:ALn,16293
CoreUARTapb_0/uUART/tx_hold_reg[2]:CLK,18487
CoreUARTapb_0/uUART/tx_hold_reg[2]:D,16196
CoreUARTapb_0/uUART/tx_hold_reg[2]:EN,15890
CoreUARTapb_0/uUART/tx_hold_reg[2]:LAT,
CoreUARTapb_0/uUART/tx_hold_reg[2]:Q,18487
CoreUARTapb_0/uUART/tx_hold_reg[2]:SD,
CoreUARTapb_0/uUART/tx_hold_reg[2]:SLn,
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:A,17445
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:B,16138
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:C,17313
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:Y,16138
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:CLK,15946
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:D,17282
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:Q,15946
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_5:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_5:IPENn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_4:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_4:IPENn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_33:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_33:IPENn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_1:CLK,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_1:IPCLKn,
COREABC_0/INSTR_DATA[5]:ADn,
COREABC_0/INSTR_DATA[5]:ALn,
COREABC_0/INSTR_DATA[5]:CLK,12842
COREABC_0/INSTR_DATA[5]:D,15068
COREABC_0/INSTR_DATA[5]:EN,
COREABC_0/INSTR_DATA[5]:LAT,
COREABC_0/INSTR_DATA[5]:Q,12842
COREABC_0/INSTR_DATA[5]:SD,
COREABC_0/INSTR_DATA[5]:SLn,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:ADn,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:CLK,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:D,13538
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:EN,16028
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:LAT,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:Q,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:SD,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:SLn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:A,13957
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:B,13907
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:C,13810
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:D,13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:Y,13586
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:ADn,
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:ALn,16293
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:CLK,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:D,16225
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:EN,15649
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:LAT,
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:Q,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:SD,
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:SLn,
CoreUARTapb_0/iPRDATA[5]:ADn,
CoreUARTapb_0/iPRDATA[5]:ALn,16293
CoreUARTapb_0/iPRDATA[5]:CLK,17484
CoreUARTapb_0/iPRDATA[5]:D,17382
CoreUARTapb_0/iPRDATA[5]:EN,15898
CoreUARTapb_0/iPRDATA[5]:LAT,
CoreUARTapb_0/iPRDATA[5]:Q,17484
CoreUARTapb_0/iPRDATA[5]:SD,
CoreUARTapb_0/iPRDATA[5]:SLn,
COREABC_0/UROM_UROM/PROM_ins249_0_a2:A,14049
COREABC_0/UROM_UROM/PROM_ins249_0_a2:B,17331
COREABC_0/UROM_UROM/PROM_ins249_0_a2:Y,14049
CoreUARTapb_0/uUART/make_RX/receive_count_RNO[2]:A,17382
CoreUARTapb_0/uUART/make_RX/receive_count_RNO[2]:B,13580
CoreUARTapb_0/uUART/make_RX/receive_count_RNO[2]:C,17249
CoreUARTapb_0/uUART/make_RX/receive_count_RNO[2]:D,17037
CoreUARTapb_0/uUART/make_RX/receive_count_RNO[2]:Y,13580
COREABC_0/un5_ramwdata_s_1_49_CC_0:CC[0],
