pin,slack
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_216:IPC,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_8_m_i_o2:A,13271
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_8_m_i_o2:B,13254
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_8_m_i_o2:Y,13254
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPB,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SCLINT_WRITE_PROC_SCLI_ff_reg_3[0]:A,17250
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SCLINT_WRITE_PROC_SCLI_ff_reg_3[0]:B,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SCLINT_WRITE_PROC_SCLI_ff_reg_3[0]:Y,17250
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_tmp_6_ss0_0_o2:A,10800
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_tmp_6_ss0_0_o2:B,10726
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_tmp_6_ss0_0_o2:C,10719
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_tmp_6_ss0_0_o2:D,10472
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serDAT_WRITE_PROC_bsd7_tmp_6_ss0_0_o2:Y,10472
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_bit_cnt_RNO[0]:A,15083
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_bit_cnt_RNO[0]:B,17345
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_bit_cnt_RNO[0]:C,15911
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/rx_bit_cnt_RNO[0]:Y,15083
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a2_0_a2:A,16237
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a2_0_a2:B,16186
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a2_0_a2:C,17297
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a2_0_a2:D,17114
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a2_0_a2:Y,16186
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_123:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_123:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_123:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_123:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_123:IPB,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:IPB,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_173:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_173:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_173:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_173:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_173:IPB,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:ADn,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:ALn,16279
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:CLK,15065
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:D,18486
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:EN,17026
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:LAT,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:Q,15065
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:SD,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_TX/tx_byte[3]:SLn,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/un1_serdat_2_sqmuxa_0_0_o2:A,13780
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/un1_serdat_2_sqmuxa_0_0_o2:B,12147
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/un1_serdat_2_sqmuxa_0_0_o2:C,15874
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/un1_serdat_2_sqmuxa_0_0_o2:D,14391
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/un1_serdat_2_sqmuxa_0_0_o2:Y,12147
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:ADn,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:ALn,16279
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:CLK,11006
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:D,14090
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:EN,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:LAT,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:Q,11006
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:SD,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/PCLKint_ff:SLn,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/fsmsta_cnst_i_0_0_a2_0_0[0]:A,12708
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/fsmsta_cnst_i_0_0_a2_0_0[0]:B,12812
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/fsmsta_cnst_i_0_0_a2_0_0[0]:C,12655
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/fsmsta_cnst_i_0_0_a2_0_0[0]:Y,12655
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:ADn,
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:ALn,16279
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:CLK,16223
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:D,16742
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:EN,13811
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:LAT,
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:Q,16223
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:SD,
mss_top_sb_0/CoreUARTapb_0_0/controlReg2[0]:SLn,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_28:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_28:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_28:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_28:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_28:IPB,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_74:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_74:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_74:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_74:IPA,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/fsmsync_ns_i_0_0_o2_0[2]:A,13831
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/fsmsync_ns_i_0_0_o2_0[2]:B,16128
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/fsmsync_ns_i_0_0_o2_0[2]:Y,13831
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/FSMSTA_SYNC_PROC_fsmsta_8_0_iv_1_RNO_2[1]:A,12713
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/FSMSTA_SYNC_PROC_fsmsta_8_0_iv_1_RNO_2[1]:B,12920
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/FSMSTA_SYNC_PROC_fsmsta_8_0_iv_1_RNO_2[1]:C,11256
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/FSMSTA_SYNC_PROC_fsmsta_8_0_iv_1_RNO_2[1]:D,11280
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/FSMSTA_SYNC_PROC_fsmsta_8_0_iv_1_RNO_2[1]:Y,11256
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_24:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_24:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_24:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_24:IPA,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:ADn,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:ALn,16279
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:CLK,13956
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:D,13728
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:EN,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:LAT,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:Q,13956
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:SD,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/baud_cntr[11]:SLn,
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:ADn,
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:ALn,16279
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:CLK,17527
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:D,14088
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:EN,13148
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:LAT,
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:Q,17527
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:SD,
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[2]:SLn,
mss_top_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA_i_o3_0_o2[7]:A,14134
mss_top_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA_i_o3_0_o2[7]:B,12845
mss_top_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA_i_o3_0_o2[7]:C,11694
mss_top_sb_0/CoreAPB3_0/u_mux_p_to_b3/PRDATA_i_o3_0_o2[7]:Y,11694
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:ADn,
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:ALn,16279
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:CLK,15056
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:D,13914
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:EN,13148
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:LAT,
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:Q,15056
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:SD,
mss_top_sb_0/CoreUARTapb_0_0/iPRDATA[0]:SLn,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_125:A,17649
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_125:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_125:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_125:IPA,17649
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_125:IPB,
mss_top_sb_0/CCC_0/CCC_INST/IP_INTERFACE_0:A,
mss_top_sb_0/CCC_0/CCC_INST/IP_INTERFACE_0:B,
mss_top_sb_0/CCC_0/CCC_INST/IP_INTERFACE_0:C,
mss_top_sb_0/CCC_0/CCC_INST/IP_INTERFACE_0:IPA,
mss_top_sb_0/CCC_0/CCC_INST/IP_INTERFACE_0:IPB,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_201:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_201:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_201:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_201:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_201:IPB,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:IPA,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:ADn,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:ALn,16279
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:CLK,14745
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:D,14694
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:EN,18187
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:LAT,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:Q,14745
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:SD,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_count[3]:SLn,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:ADn,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:ALn,16279
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:CLK,17350
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:D,17305
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:EN,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:LAT,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:Q,17350
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:SD,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SDAI_ff_reg[2]:SLn,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:IPB,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPA,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPB,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serSTA_WRITE_PROC_sersta_32_0[3]:A,16033
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serSTA_WRITE_PROC_sersta_32_0[3]:B,16047
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serSTA_WRITE_PROC_sersta_32_0[3]:C,14544
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serSTA_WRITE_PROC_sersta_32_0[3]:D,14395
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/serSTA_WRITE_PROC_sersta_32_0[3]:Y,14395
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SCLO_int_RNI96C8:A,
mss_top_sb_0/COREI2C_0_0/G0a_0_ui2c/SCLO_int_RNI96C8:Y,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_0_o2[1]:A,16045
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_0_o2[1]:B,13624
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_0_o2[1]:C,15906
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_0_o2[1]:Y,13624
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_146:A,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_146:B,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_146:C,
mss_top_sb_0/mss_top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_146:IPA,
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr:A,15305
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr:B,13828
mss_top_sb_0/CoreUARTapb_0_0/uUART/make_mss_top_sb_CoreUARTapb_0_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr:C,13775
